Bus Stop,Boarding Passengers (pax/h),Alighting Passengers (pax/h)
Kwun Tong (Yue Man Square) Bus Terminus,116,0
Kwun Tong BBI - Millennium City (Platform B4),82,0
"Ting Fu Street, Kwun Tong",30,31
Lower Ngau Tau Kok Estate,90,0
Telford Gardens,73,0
Kowloon Bay Station,82,48
Kai Tai Court,0,0
Ngau Chi Wan BBI - Tan Fung House (Platform J2),47,48
Kai Yip Estate,0,83
Choi Hung BBI - Choi Hung Bus Terminus (Platform N6),0,57
Chun Tok School,30,0
Grandview Garden,30,57
Po Kong Village Road School Village,47,74
Tak Oi Secondary School,0,91
Tsz Man Estate,0,74
Tsz On Court,0,33
Tsz Wan Shan (Central) Bus Terminus,0,31
