Bus Stop,Morning Boarding (pax/h),Morning Alighting (pax/h),Evening Boarding (pax/h),Evening Alighting (pax/h)
Kwun Tong (Yue Man Square) Bus Terminus,132,0,203,0
Kwun Tong BBI - Millennium City (Platform B4),55,0,93,13
"Ting Fu Street, Kwun Tong",55,0,43,0
Lower Ngau Tau Kok Estate,72,29,63,0
Telford Gardens,29,0,33,50
Kowloon Bay Station,29,29,83,63
Kai Tai Court,72,37,0,53
Ngau Chi Wan BBI - Tan Fung House (Platform J2),55,0,53,0
Kai Yip Estate,29,38,43,43
Choi Hung BBI - Choi Hung Bus Terminus (Platform N6),38,0,93,0
Chun Tok School,29,38,43,63
Grandview Garden,29,29,23,103
Po Kong Village Road School Village,0,89,0,43
Tak Oi Secondary School,0,38,0,63
Tsz Man Estate,0,72,0,73
Tsz On Court,0,132,0,143
Tsz Wan Shan (Central) Bus Terminus,0,93,0,63
