Bus Stop,Boarding Passengers (pax/h),Alighting Passengers (pax/h)
Tsz Wan Shan (Central) Bus Terminus,89,0
Ching Fai House,29,0
Ching Hong House,44,33
Tak Oi Secondary School,0,46
Po Leung Kuk No.1 W. H. Cheung College,44,31
Diamond Hill Crematorium,89,46
Fu Shan Estate,59,31
Hammer Hill Road Sports Ground,29,0
Choi Hung Bbi - Pik Hoi House (Platform M4),44,0
Kai Yip Estate,59,0
Kowloon Bay Station,74,63
Lower Ngau Tau Kok Estate,29,108
Kwun Tong Road Sitting-Out Area,0,76
Kwun Tong Bbi - Millennium City (Platform U3),29,78
Kwun Tong (Yue Man Square) Bus Terminus,0,106
